OTUID	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample_09	Sample10	Sample11
ASV102	0	0	0	0	0	0	0	0	0	0	0
ASV103	0	0	0	0	0	0	0	0	0	0	0
ASV104	0	0	0	0	0	0	0	0	0	0	0
ASV105	0	0	0	0	0	0	0	0	0	0	0
ASV106	0	0	0	0	0	0	0	0	0	0	0
ASV107	0	0	0	0	0	0	0	0	0	2	0
ASV108	0	3	0	0	0	0	0	0	0	0	0
ASV109	0	0	0	0	0	0	0	0	0	0	0
ASV110	0	0	0	0	0	0	0	2	0	0	0
ASV111	0	0	0	0	0	0	0	0	0	0	0
ASV112	0	0	0	0	0	2	0	0	0	0	0
ASV113	0	0	0	0	0	0	0	0	0	0	0
ASV114	0	0	0	0	0	0	0	0	0	2	0
ASV115	0	0	2	0	0	0	0	0	0	0	0
ASV116	0	0	0	0	0	0	0	0	0	0	0
ASV117	0	0	0	0	0	0	0	0	0	0	0
ASV118	0	0	0	0	0	0	0	0	0	0	0
ASV119	0	0	0	0	0	0	0	0	0	0	0
ASV120	0	0	0	0	0	0	0	0	0	0	0
ASV121	0	0	0	0	0	0	0	0	0	0	0
ASV122	0	0	0	0	0	0	0	0	0	0	0
ASV123	0	0	0	0	0	0	0	0	0	0	0
ASV124	1	0	0	0	0	0	0	0	0	0	0
ASV126	25	12	12	15	12	8	3	16	20	22	20
ASV127	9	9	8	13	8	1	4	9	4	4	4
ASV129	367	194	294	354	286	242	260	347	337	308	336
ASV130	0	0	2	0	0	0	0	3	0	0	0
ASV131	5	2	1	2	0	1	4	0	2	0	0
ASV132	1	0	0	0	3	0	0	4	2	0	1
ASV133	0	0	0	0	0	0	0	0	0	0	0
ASV134	0	2	1	0	1	0	0	1	0	1	0
ASV135	2	0	0	0	3	0	0	1	0	2	0
ASV136	0	0	0	0	0	0	0	0	0	0	0
ASV138	0	0	0	0	0	0	0	0	0	0	0
ASV139	0	0	0	0	3	0	0	0	0	0	0
ASV140	0	0	0	0	0	0	0	0	0	0	0
ASV141	0	0	2	0	0	0	0	0	0	0	0
ASV142	0	0	0	0	0	0	0	0	0	0	0
ASV143	0	0	0	0	0	0	0	0	0	0	0
ASV144	0	0	0	0	0	0	0	0	0	0	0
ASV147	0	0	0	0	0	0	0	0	0	0	2
ASV148	0	2	0	0	0	1	0	0	0	0	0
ASV149	0	0	0	0	0	0	0	0	0	0	0
ASV151	0	0	0	0	0	0	0	0	0	0	0
ASV152	0	0	0	0	0	0	0	0	0	0	0
ASV153	0	0	0	0	0	0	0	0	0	0	0
ASV154	0	0	0	0	0	0	0	0	0	0	0
ASV155	0	0	0	0	0	0	0	0	0	0	0
ASV156	0	0	0	0	0	0	0	0	0	0	0
ASV157	10	5	13	9	7	10	12	15	6	13	2
ASV158	3	0	0	0	0	0	0	0	3	0	2
ASV159	50	43	26	32	30	22	29	43	33	55	25
ASV163	0	0	0	0	0	0	0	0	0	0	0
ASV165	0	0	0	0	2	0	0	0	0	0	0
ASV166	0	0	0	0	0	0	0	0	0	0	0
ASV167	0	0	0	0	0	0	0	0	0	0	2
ASV168	0	0	0	0	0	0	3	0	0	0	0
ASV169	0	0	0	2	0	0	0	0	0	0	0
ASV170	0	0	0	0	0	0	0	0	0	0	0
ASV171	0	0	0	0	0	0	0	0	0	0	0
ASV172	0	0	0	0	0	0	0	0	0	2	0
ASV173	0	0	0	0	0	0	0	0	0	0	0
ASV174	0	0	0	0	0	0	0	0	0	0	0
ASV175	7	0	4	12	15	13	12	10	7	14	17
ASV176	8	4	4	4	5	0	0	7	8	10	5
ASV177	63	41	63	67	67	62	61	65	62	76	81
ASV178	0	0	0	0	0	0	0	0	0	0	0
ASV179	0	0	0	0	0	0	0	0	0	1	0
ASV180	0	0	0	0	0	0	0	0	0	0	0
ASV181	0	4	0	1	0	0	1	0	0	2	0
ASV182	0	0	0	0	0	0	0	0	0	0	0
ASV183	9	13	9	11	5	14	8	22	10	6	4
ASV184	0	0	0	0	0	0	0	0	0	0	0
ASV185	0	0	0	0	2	0	0	0	0	0	0
ASV186	2	0	4	5	5	3	6	3	5	5	4
ASV187	0	2	0	2	0	0	1	5	0	2	0
ASV189	0	0	1	0	0	0	0	0	0	0	0
ASV190	0	0	0	0	1	0	0	0	0	0	1
ASV192	11	1	2	5	1	2	5	1	1	1	0
ASV194	0	0	0	0	0	0	0	0	0	0	0
ASV195	0	0	0	0	0	0	0	0	0	0	0
ASV196	0	0	0	0	0	0	0	0	0	0	0
ASV197	0	0	0	0	0	0	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	0	0	0	0
ASV201	1	0	0	0	0	0	0	0	0	0	0
ASV202	0	0	0	0	0	0	0	0	0	0	0
ASV203	0	0	0	0	0	0	0	0	0	0	0
ASV206	0	0	0	0	0	0	0	0	3	0	0
ASV207	0	0	0	0	0	0	0	0	0	0	0
ASV208	0	0	0	0	0	0	0	0	0	0	0
ASV209	0	0	0	0	3	0	0	0	0	0	0
ASV210	0	0	0	0	0	0	0	0	0	0	0
